,sub,r2_actual_vs_model,r2_actual_vs_avg,r2_model_increase_from_avg
0,1.0,,,
1,13.0,-0.8294025668510203,-1.0616274079123436,0.23222484106132324
2,14.0,-0.21617651003595717,-0.01061987872828607,-0.2055566313076711
3,29.0,-0.6151019664313078,-0.006564000342935472,-0.6085379660883723
4,44.0,-0.33639750017233605,-0.6606722380795467,0.3242747379072106
5,60.0,-0.7350057760814381,-0.30713348800119644,-0.4278722880802417
6,71.0,-1.5826093743924217,-0.008371687840290187,-1.5742376865521315
7,73.0,-0.4196485180994223,-0.023809523809523725,-0.39583899428989855
8,82.0,,,
9,94.0,-18.485877776993767,-11.408333333333324,-7.077544443660443
10,95.0,0.0019903368722939963,-0.06696478690570729,0.06895512377800128
11,100.0,,,
12,105.0,-0.2920516240292885,-0.22778704144830764,-0.06426458258098089
13,127.0,,,
14,140.0,-1.659976228232559,-0.6510416666666667,-1.0089345615658922
15,1117.0,-0.8307701626940842,-0.012071391101149409,-0.8186987715929348
16,1132.0,-0.8007736835979351,-0.1354248046874995,-0.6653488789104356
17,1136.0,-2.3157346801821057,-3.7499999999999165,1.4342653198178108
18,1160.0,-4.399179610993905,-4.399179610993905,0.0
19,1173.0,-2.235816465200233,-2.6529157045243115,0.41709923932407866
20,1191.0,,,
21,1202.0,-9.126666666666663,-9.126666666666663,0.0
22,1203.0,-8.126759727125924,-9.921571430482267,1.794811703356343
23,1206.0,,,
24,1207.0,,,
25,1238.0,-8.276926048293205,-6.074999999999995,-2.2019260482932106
26,1240.0,-1.4903788531726154,-0.31485312291679723,-1.1755257302558182
27,1243.0,-8.692160256455383,-4.028935185185198,-4.663225071270184
28,1261.0,,,
29,1264.0,-0.09081805015366795,-0.001721865010336776,-0.08909618514333117
30,1269.0,-1.4530617901918594,-0.0021058820293478053,-1.4509559081625116
31,1271.0,-0.008387054279216155,-0.1083569253415162,0.09996987106230004
32,1272.0,-0.8689201243334268,-0.49362664473684115,-0.37529347959658566
33,1283.0,,,
34,1284.0,-0.07307199489158589,-0.030454782636195166,-0.042617212255390724
35,1305.0,0.16115892078658822,-0.4132231404958673,0.5743820612824555
36,1308.0,-0.7568236964879602,-0.3748662450096598,-0.3819574514783004
37,1313.0,-0.29429487585211844,-0.40960000000000063,0.11530512414788219
38,1319.0,-1.665941126407657,-0.13656144453104724,-1.5293796818766097
39,1323.0,-0.4961417132497772,-0.08785291852736776,-0.4082887947224094
40,1335.0,,,
41,1336.0,,,
42,1338.0,-0.6204396617482564,-0.3466629771238581,-0.2737766846243983
43,1341.0,-2.506546431830903,-3.514462809917367,1.0079163780864637
44,1348.0,-0.48405341502331445,-0.9215196165341166,0.4374662015108022
45,1349.0,-0.7106501818998883,-0.5073051948051948,-0.2033449870946935
46,1355.0,,,
47,1358.0,-0.7588370574993699,-0.5720296670176839,-0.18680739048168604
48,1382.0,-0.99825432265586,-1.2207031249999991,0.2224488023441391
49,1399.0,-0.4344630204080351,-0.4783222581062334,0.04385923769819833
50,1401.0,,,
51,1402.0,-623.6262626038847,-0.09765625000000044,-623.5286063538847
52,1404.0,,,
53,1414.0,0.050035518641439514,-0.006701173531419302,0.056736692172858816
54,1426.0,-4.244570373445171,-5.188023949633747,0.9434535761885758
55,1430.0,,,
56,1431.0,,,
