feature,importance_mean,importance_std
bin_clin,0.11748160981495193,0.011533623976189523
sds_2,0.040153275832176184,0.005949575065282249
day,0.02032079380206515,0.008486892957184697
sds_3,0.02013102036860257,0.0033194523057249598
num_id,0.012978253837613118,0.008711273896240558
screen_3,0.0052628209276359365,0.002205514238402323
sleep_1,0.0030424300482609135,0.0012995343057143887
sleep_3,0.00033240613676949193,0.001776144810050204
week,0.0,0.0
mood_1,-0.0020225872846517,0.0030229564185027874
cohort_Akili,-0.005013246283589468,0.0020465980481231823
sds_1,-0.00832379519087666,0.003054550990348196
screen_4,-0.008418993342248582,0.0023617170537736415
screen_2,-0.010844203032448175,0.0017806637933535756
stress,-0.015080265816251192,0.00394976523340523
