feature,importance_mean,importance_std
month,0.04409987460003171,0.04009566131056466
marital_status_0.0,0.04381502035823006,0.013390971623165542
stress,0.04088981131075735,0.010447918236923075
screen_4,0.024433378248461524,0.014786706057067093
sds_1,0.014614671980584793,0.020489299192183404
sds_3,0.014156388259274833,0.01633735732559202
num_id,0.006672880905285239,0.03150895803404005
sds_2,0.0038778209570694997,0.0154483008216287
marital_status_1.0,0.0027104358365251493,0.00504483094291007
screen_3,0.0018858948259532272,0.003863069482475858
mood_1,0.0018592395756839464,0.014568969047346008
sleep_1,-0.003440232736748583,0.006100046629112785
marital_status_2.0,-0.006999297425286643,0.009809509420454674
sleep_3,-0.010415144024260626,0.003106317869755819
