feature,importance_mean,importance_std
bin_clin,0.16645295768185603,0.021918565243677073
day,0.08384569221669176,0.017317097307034575
sds_2,0.058960901379328065,0.013462487212864202
stress,0.04691699457393535,0.011535116823990858
interaction_diversity,0.042479001493765677,0.02899144052919634
screen_2,0.04116638597421722,0.005683510550668548
num_id,0.02703552121102356,0.025276703393573106
mood_1,0.024598111902265497,0.006682502008566406
sds_1,0.015115142107150037,0.007209257024135375
sds_3,0.013455861358200417,0.008622596782083705
unreturned_calls,0.010902664259016603,0.017071053444744043
sleep_1,0.0061806121122605084,0.004741170501405447
cohort_Health tips,0.002606681496791463,0.0003611523905528654
week,0.0,0.0
screen_4,0.0,0.0
sleep_3,-0.003020147859514566,0.0013056570734760484
sleep_2,-0.0037642442449054127,0.002946140734194247
marital_status_0.0,-0.004766516827804735,0.010200773825648397
screen_3,-0.021338449026577187,0.012603106052470826
missed_interactions,-0.049943572329779654,0.011144736406738553
