"","pc_social.1","pc_mobility.1","pc_missed_calls.1","pc_phq2.1"
"pc_social",0.416470268714901,0.00244018161999007,0.00740772122419704,0.00815066297172747
"pc_mobility",0.00322546394414965,0.339190365737719,0.000407512037932286,0.00236302818544805
"pc_missed_calls",0.038805783327956,-0.00494356024431504,0.330501442978117,-0.00447028476686338
"pc_phq2",-0.0110184468274823,-0.022158907310425,0.00147892258849262,0.491000421613208
