"","pc_mobility.1","pc_calls.1","pc_unreturned_calls.1","pc_sms.1","pc_phq2.1"
"pc_mobility",0.363346117724814,0.0130050556849607,0.010384651377621,0.0182076354135183,0.012226906064914
"pc_calls",-0.0104859390335021,0.48915461571481,0.00320278044277719,0.00988223560860417,-0.0169399349805619
"pc_unreturned_calls",0.0274107751824391,-0.00444947489149178,0.331118114223246,0.0251984810154855,0.00406318380977008
"pc_sms",0.0322288570264389,0.00881123770185313,-0.00603577068680229,0.418737547822673,0.00648778477756779
"pc_phq2",-0.00217294614985703,0.00255985915206698,0.00234850154990076,0.0135657987241072,0.344988181280473
