,yj__cloud_cover_IQR,yj__dew_point_IQR,yj__dew_point_std,yj__precip_sum,yj__came_to_work,yj__distance_active,yj__distance_high_speed_transportation,yj__distance_powered_vehicle,yj__distance_walking,yj__hours_active,yj__hours_high_speed_transportation,yj__hours_of_sleep,yj__hours_powered_vehicle,yj__hours_stationary_nhw,yj__hours_walking,yj__location_variance,yj__season_num,yj__distance_walking_hr,yj__hours_active_hr,yj__distance_active_hr,yj__distance_powered_vehicle_hr,yj__hours_high_speed_transportation_hr,yj__hours_of_sleep_hr,yj__distance_high_speed_transportation_hr,yj__hours_powered_vehicle_hr,yj__location_variance_hr,cat__gender_0.0,cat__marital_status_2.0,cat__race_6.0,cat__season_fall,cat__season_winter,cat__season_num_1.0,cat__season_num_2.0,non-skew__cloud_cover_mean,non-skew__cloud_cover_median,non-skew__cloud_cover_std,non-skew__dew_point_mean,non-skew__dew_point_median,non-skew__humidity_IQR,non-skew__humidity_mean,non-skew__humidity_median,non-skew__humidity_std,non-skew__temp_IQR,non-skew__temp_mean,non-skew__temp_median,non-skew__temp_std,remainder__Unnamed: 0.3,remainder__Unnamed: 0.2,remainder__Unnamed: 0.1,remainder__Unnamed: 0,remainder__idx,remainder__day,remainder__dt,remainder__participant_id,remainder__week,remainder__phq9_sum,remainder__phq9_1,remainder__phq9_2,remainder__phq9_3,remainder__phq9_4,remainder__phq9_5,remainder__phq9_6,remainder__phq9_7,remainder__phq9_8,remainder__phq9_9,remainder__v,remainder__phq9_cat_x,remainder__phq9_bin_x,remainder__phq2_1,remainder__phq2_2,remainder__phq2_sum,remainder__phq2_bin,remainder__sds_1,remainder__sds_2,remainder__sds_3,remainder__stress,remainder__support,remainder__sleep_1,remainder__sleep_2,remainder__sleep_3,remainder__mood_1,remainder__hours_accounted_for,remainder__hours_stationary,remainder__phq9_1_base,remainder__phq9_2_base,remainder__phq9_3_base,remainder__phq9_4_base,remainder__phq9_5_base,remainder__phq9_6_base,remainder__phq9_7_base,remainder__phq9_8_base,remainder__phq9_9_base,remainder__phq9_sum_base,remainder__age,remainder__screen_1,remainder__screen_2,remainder__screen_3,remainder__screen_4,remainder__bipolar,remainder__scz,remainder__alc_1,remainder__alc_2,remainder__alc_3,remainder__alc_sum,remainder__alc_cat,remainder__gad7_1,remainder__gad7_2,remainder__gad7_3,remainder__gad7_4,remainder__gad7_5,remainder__gad7_6,remainder__gad7_7,remainder__gad7_8,remainder__gad7_sum,remainder__gad_cat,remainder__mhs_1,remainder__mhs_2,remainder__mhs_3,remainder__mhs_4,remainder__mhs_5,remainder__mhs_sum,remainder__education,remainder__working,remainder__income_satisfaction,remainder__income_lastyear,remainder__bin_clin,remainder__num_id,remainder__week_id,remainder__day_of_week,remainder__month,remainder__change_sum,remainder__ending_week,remainder__change_binary,remainder__phq9_mean,remainder__phq9_bin_y,remainder__change_cat,remainder__phq9_cat_mean,remainder__phq9_cat_y,num_id
459,0.31653669620814284,0.2821174547086585,0.21181620448698063,1.10113874030884,0.0,1.2389417706151669,2.2088911095671757,1.1121941405446643,1.1537393560466411,0.910955555020125,1.5573375489888832,0.10957780660794987,1.107788288745247,0.4221505432007224,1.0822803619838322,-0.07620811762332998,-1.396424004376894,0.4848586132017274,0.3227128448795021,0.18558489493108155,0.5209614726980066,0.565148375273792,0.117110831515311,0.7492881401080467,0.46664145650345124,-0.13926006891102907,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5520588235294117,0.5550980392156863,0.23382352941176468,17.7628431372549,17.699019607843137,0.08529411764705881,0.7712745098039218,0.7755882352941177,0.05558823529411765,6.273627450980392,24.05245098039216,24.53754901960784,3.8314705882352946,482,482,482,482,EN00430_0,0.0,2016-11-10,EN00430,0.0,,,,,,,,,,,V2,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,12.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,2.0,5.0,0.0,533.0,EN00430_0,4.0,11.0,,,,,,,,,533.0
460,0.31653669620814284,0.2821174547086585,0.21181620448698063,1.10113874030884,0.0,1.2389417706151669,2.2088911095671757,1.1121941405446643,1.1537393560466411,0.910955555020125,1.5573375489888832,0.10957780660794987,1.107788288745247,0.4221505432007224,1.0822803619838322,-0.07620811762332998,-1.396424004376894,0.4848586132017274,0.3227128448795021,0.18558489493108155,0.5209614726980066,0.565148375273792,0.117110831515311,0.7492881401080467,0.46664145650345124,-0.13926006891102907,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5520588235294117,0.5550980392156863,0.23382352941176468,17.7628431372549,17.699019607843137,0.08529411764705881,0.7712745098039218,0.7755882352941177,0.05558823529411765,6.273627450980392,24.05245098039216,24.53754901960784,3.8314705882352946,483,483,483,483,EN00430_1,1.0,2016-11-11,EN00430,0.0,,,,,,,,,,,V2,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,12.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,2.0,5.0,0.0,533.0,EN00430_0,5.0,11.0,,,,,,,,,533.0
470,0.31653669620814284,0.2821174547086585,0.21181620448698063,1.10113874030884,0.0,1.2389417706151669,2.2088911095671757,1.1121941405446643,1.1537393560466411,0.910955555020125,1.5573375489888832,0.10957780660794987,1.107788288745247,0.4221505432007224,1.0822803619838322,-0.07620811762332998,-1.396424004376894,0.4848586132017274,0.3227128448795021,0.18558489493108155,0.5209614726980066,0.565148375273792,0.117110831515311,0.7492881401080467,0.46664145650345124,-0.13926006891102907,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5520588235294117,0.5550980392156863,0.23382352941176468,17.7628431372549,17.699019607843137,0.08529411764705881,0.7712745098039218,0.7755882352941177,0.05558823529411765,6.273627450980392,24.05245098039216,24.53754901960784,3.8314705882352946,493,493,493,493,EN00430_2,2.0,2016-11-12,EN00430,0.0,14.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,V2,,,,,,,4.0,3.0,2.0,4.0,6.0,,,,1.0,,,1.0,1.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,12.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,2.0,5.0,0.0,533.0,EN00430_0,6.0,11.0,,,,,,,,,533.0
481,0.31653669620814284,0.2821174547086585,0.21181620448698063,1.10113874030884,0.0,-0.7703513419901654,-0.45175268230687365,-0.9106664352946545,-0.8517746644789157,-0.7434401962701028,-0.43305805972287126,0.931181586026263,-0.8212077601129874,-1.2589085955297035,-0.7713417193704231,-0.07620811762332998,-1.396424004376894,0.4848586132017274,0.3227128448795021,0.18558489493108155,0.5209614726980066,0.565148375273792,0.117110831515311,0.7492881401080467,0.46664145650345124,-0.13926006891102907,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5520588235294117,0.5550980392156863,0.23382352941176468,17.7628431372549,17.699019607843137,0.08529411764705881,0.7712745098039218,0.7755882352941177,0.05558823529411765,6.273627450980392,24.05245098039216,24.53754901960784,3.8314705882352946,504,504,504,504,EN00430_3,3.0,2016-11-13,EN00430,0.0,,,,,,,,,,,V2,,,,,,,,,,,,,,,,,0.0,1.0,1.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,12.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,2.0,5.0,0.0,533.0,EN00430_0,7.0,11.0,,,,,,,,,533.0
492,1.309530757204618,-0.3367749685470495,-0.2931113291397303,-0.652938277890927,0.0,-0.7703513419901654,-0.45175268230687365,0.8494405802021785,0.7921623052526086,-0.7434401962701028,-0.43305805972287126,-0.08052700757229349,0.12589538045028617,1.1095710195284205,-0.37515667404539826,0.4292548323316504,-1.396424004376894,0.4848586132017274,0.3227128448795021,0.18558489493108155,0.5209614726980066,0.565148375273792,0.117110831515311,0.7492881401080467,0.46664145650345124,-0.13926006891102907,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.55,0.61,0.39,39.98,40.15,0.06,0.84,0.84,0.05,4.32,44.54,45.21,3.47,515,515,515,515,EN00430_4,4.0,2016-11-14,EN00430,0.0,,,,,,,,,,,V2,,,2.0,1.0,3.0,1.0,,,,,,,,,,,18.3,1.0,1.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,12.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,2.0,5.0,0.0,533.0,EN00430_0,1.0,11.0,,,,,,,,,533.0
503,1.0664564050257177,0.4987293820005965,0.35071098674101026,-0.652938277890927,0.0,-0.7703513419901654,-0.45175268230687365,-0.9106664352946545,1.3980801903197773,-0.7434401962701028,-0.43305805972287126,-1.1067762253068836,-0.8212077601129874,0.8060266100350878,1.8172358878550032,0.6101456231806772,-1.396424004376894,2.2446391278126514,-1.3758128006336412,0.18558489493108155,-1.580946490664594,-1.0508319833383335,-2.3544027442679565,-1.1444004632964513,-1.367394439813975,0.40013968621630963,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.36,0.25,0.36,39.76,40.43,0.2,0.82,0.81,0.1,12.7,45.14,45.49,6.47,526,526,526,526,EN00430_5,5.0,2016-11-15,EN00430,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,V2,,,,,,,1.0,1.0,1.0,2.0,3.0,,,,2.0,8.0,13.167,1.0,1.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,12.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,2.0,5.0,0.0,533.0,EN00430_0,2.0,11.0,,,,,,,,,533.0
514,-1.2065580768100388,0.9185267192531178,0.6513632748234124,-0.652938277890927,0.0,1.312147826107698,2.220572486877639,1.343176185031858,-0.8517746644789157,1.4832928556525544,2.969259920247198,0.2831745645597752,1.7134354566024912,1.4316306926251727,-0.7713417193704231,1.780254906760501,-1.396424004376894,-1.4931069308591118,0.8069237620902205,-1.6797141693049435,1.2463183599878693,2.359537034684534,-0.8822909855793831,1.4729007202568192,0.9175085796168864,2.0021333565880988,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.025,0.0,0.045,38.87,41.715,0.3,0.73,0.69,0.155,17.7,47.65,51.55,9.47,537,537,537,537,EN00430_6,6.0,2016-11-16,EN00430,0.0,,,,,,,,,,,V2,,,2.0,3.0,5.0,1.0,,,,,,,,,,16.0,25.367,1.0,1.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,12.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,2.0,5.0,0.0,533.0,EN00430_0,3.0,11.0,,,,,,,,,533.0
515,-0.626589203616596,-0.5527614235558965,-0.7248213731655923,-0.652938277890927,0.0,1.3198950319604132,2.22113839004189,1.1116215475417512,1.115730718990666,1.5223636415801496,2.968545094213198,-1.6534993378880418,1.2143415821092067,1.1951136685067731,0.9886319160637114,1.4277161452458422,-1.396424004376894,-0.2175228926933099,0.4847882216849998,-2.379495211124329,-0.04721183644610082,2.0456132248780667,0.117110831515311,1.4675586799828189,-0.5448260274557789,1.784055581325479,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.07,0.06,0.14,47.94,47.73,0.16,0.58,0.59,0.12,7.84,63.51,61.88,6.09,538,538,538,538,EN00430_7,7.0,2016-11-17,EN00430,1.0,,,,,,,,,,,V2,,,2.0,4.0,6.0,1.0,,,,,,,,,,22.0,20.0,1.0,1.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,12.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,2.0,5.0,0.0,533.0,EN00430_1,4.0,11.0,,,,,,,,,533.0
516,-1.0173391236154465,2.2114655283945956,1.9956971931922136,1.0778125427606935,0.0,1.3673194900271803,-0.45175268230687365,0.894321914259573,1.3293644779801654,1.735523757363377,-0.43305805972287126,-1.6534993378880418,0.41964936349403337,1.0715853890148328,1.6646931910892877,0.5158712339963573,-1.396424004376894,0.8259608210251954,1.5629362438554932,-0.3574965634300726,-0.599908362790895,-1.0508319833383335,0.117110831515311,-1.1444004632964513,-1.020464696185022,1.1648359890876283,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.89,1.0,0.22,35.72,31.58,0.07,0.76,0.75,0.04,14.91,42.58,38.7,7.74,539,539,539,539,EN00430_8,8.0,2016-11-18,EN00430,1.0,,,,,,,,,,,V2,2.0,1.0,1.0,3.0,4.0,1.0,,,,,,,,,,20.0,17.583,1.0,1.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,12.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,2.0,5.0,0.0,533.0,EN00430_1,5.0,11.0,,,,,,,,,533.0
517,0.5870617893067022,0.21205595828451732,0.15026273281575725,-0.652938277890927,0.0,1.367573354243539,2.2207413106742857,1.322006992551784,1.2743832278900282,1.7475772356341732,2.9694695238137974,-1.6534993378880418,1.6861433272590742,0.11153833113842394,1.60953900089375,1.9295706888125452,-1.396424004376894,0.7491668984598794,2.0880001668486634,0.7263952075143377,1.2084550753384398,2.464003899563997,0.117110831515311,1.5672041483320256,0.97354057718235,2.1355293442768906,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.48,0.44,0.39,20.99,21.25,0.13,0.66,0.69,0.08,3.67,32.17,32.38,3.25,540,540,540,540,EN00430_9,9.0,2016-11-19,EN00430,1.0,,,,,,,,,,,V2,,,1.0,1.0,2.0,0.0,,,,,,,,,,14.0,5.55,1.0,1.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,12.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,2.0,5.0,0.0,533.0,EN00430_1,6.0,11.0,,,,,,,,,533.0
