,yj__cloud_cover_IQR,yj__dew_point_IQR,yj__dew_point_std,yj__precip_sum,yj__came_to_work,yj__distance_active,yj__distance_high_speed_transportation,yj__distance_powered_vehicle,yj__distance_walking,yj__hours_active,yj__hours_high_speed_transportation,yj__hours_of_sleep,yj__hours_powered_vehicle,yj__hours_walking,yj__location_variance,yj__distance_walking_hr,yj__hours_active_hr,yj__distance_powered_vehicle_hr,yj__hours_high_speed_transportation_hr,yj__hours_of_sleep_hr,yj__distance_high_speed_transportation_hr,yj__hours_powered_vehicle_hr,yj__location_variance_hr,yj__hours_high_speed_transportation_hr_bin,yj__distance_high_speed_transportation_hr_bin,yj__cloud_cover_IQR_indicator,yj__dew_point_IQR_indicator,yj__dew_point_std_indicator,yj__precip_sum_indicator,yj__came_to_work_indicator,yj__distance_active_indicator,yj__distance_high_speed_transportation_indicator,yj__distance_powered_vehicle_indicator,yj__distance_walking_indicator,yj__hours_active_indicator,yj__hours_high_speed_transportation_indicator,yj__hours_of_sleep_indicator,yj__hours_powered_vehicle_indicator,yj__location_variance_indicator,cat__gender_0.0,cat__marital_status_2.0,cat__race_6.0,cat__season_fall,cat__season_summer,non-skew__cloud_cover_mean,non-skew__cloud_cover_median,non-skew__cloud_cover_std,non-skew__dew_point_mean,non-skew__dew_point_median,non-skew__humidity_IQR,non-skew__humidity_mean,non-skew__humidity_median,non-skew__humidity_std,non-skew__temp_IQR,non-skew__temp_mean,non-skew__temp_median,non-skew__temp_std,non-skew__callDuration_incoming_bin,non-skew__callDuration_outgoing_bin,non-skew__callCount_incoming_bin,non-skew__callCount_missed_bin,non-skew__callCount_outgoing_bin,non-skew__textCount_bin,non-skew__textCount_received_bin,non-skew__textCount_sent_bin,non-skew__textLength_received_bin,non-skew__textLength_sent_bin,non-skew__uniqueNumbers_calls_incoming_bin,non-skew__uniqueNumbers_calls_missed_bin,non-skew__uniqueNumbers_calls_outgoing_bin,non-skew__uniqueNumbers_texts_bin,non-skew__uniqueNumbers_texts_received_bin,non-skew__uniqueNumbers_texts_sent_bin,non-skew__callDuration_incoming_indicator,non-skew__callDuration_outgoing_indicator,non-skew__callCount_incoming_indicator,non-skew__callCount_missed_indicator,non-skew__callCount_outgoing_indicator,non-skew__textCount_indicator,non-skew__textCount_received_indicator,non-skew__textCount_sent_indicator,non-skew__textLength_received_indicator,non-skew__textLength_sent_indicator,non-skew__uniqueNumbers_calls_incoming_indicator,non-skew__uniqueNumbers_calls_missed_indicator,non-skew__uniqueNumbers_calls_outgoing_indicator,non-skew__uniqueNumbers_texts_indicator,non-skew__uniqueNumbers_texts_received_indicator,non-skew__uniqueNumbers_texts_sent_indicator,non-skew__cloud_cover_mean_indicator,non-skew__cloud_cover_median_indicator,non-skew__cloud_cover_std_indicator,non-skew__dew_point_mean_indicator,non-skew__dew_point_median_indicator,non-skew__humidity_IQR_indicator,non-skew__humidity_mean_indicator,non-skew__humidity_median_indicator,non-skew__humidity_std_indicator,non-skew__temp_IQR_indicator,non-skew__temp_mean_indicator,non-skew__temp_median_indicator,non-skew__temp_std_indicator,target__phq9_sum,target__phq9_1,target__phq9_2,target__phq9_3,target__phq9_4,target__phq9_5,target__phq9_6,target__phq9_7,target__phq9_8,target__phq9_9,target__phq2_1,target__phq2_2,target__phq2_sum,target__change_sum,target__ending_week,target__change_binary,target__phq9_mean,target__phq9_bin,target__change_cat,target__phq9_cat_mean,target__phq9_cat,remainder__Unnamed: 0.3,remainder__Unnamed: 0.2,remainder__Unnamed: 0.1,remainder__Unnamed: 0,remainder__idx,remainder__dt,remainder__participant_id,remainder__v,remainder__day,remainder__alc_1,remainder__alc_2,remainder__alc_3,remainder__alc_sum,remainder__gad7_1,remainder__gad7_2,remainder__gad7_3,remainder__gad7_4,remainder__gad7_5,remainder__gad7_6,remainder__gad7_7,remainder__gad7_8,remainder__gad7_sum,remainder__sds_1,remainder__sds_2,remainder__sds_3,remainder__stress,remainder__support,remainder__sleep_1,remainder__sleep_2,remainder__sleep_3,remainder__mood_1,remainder__mhs_1,remainder__mhs_2,remainder__mhs_3,remainder__mhs_4,remainder__mhs_5,remainder__hours_accounted_for,remainder__hours_stationary,remainder__hours_stationary_nhw,remainder__cid,remainder__category,remainder__subcategories,remainder__phq9_1_base,remainder__phq9_2_base,remainder__phq9_3_base,remainder__phq9_4_base,remainder__phq9_5_base,remainder__phq9_6_base,remainder__phq9_7_base,remainder__phq9_8_base,remainder__phq9_9_base,remainder__study,remainder__screen_1,remainder__screen_2,remainder__screen_3,remainder__screen_4,remainder__education,remainder__working,remainder__income_satisfaction,remainder__income_lastyear,remainder__age,remainder__heard_about_us,remainder__device,remainder__study_arm,remainder__num_id,remainder__day_of_week,remainder__month,remainder__week,remainder__week_id,remainder__phq2_indicator,num_id
230,0.22263282083151079,0.19209533975826906,0.11966769577153266,0.7262634315067016,0.0,1.3531700572218832,0.0,0.9084489101756793,1.1775961428066803,0.851270556160601,0.0,0.11152743638722669,0.5512752352054434,1.330298857680159,-0.03988687311378088,0.0,0.0,0.0,0.0,0.017603228481460995,0.0,0.0,-0.16552799135669866,0.0,0.0,-1.6583123951777001,-1.8126539343499315,-1.8126539343499315,-0.5516772843673705,0.0,-0.447213595499958,0.0,-0.7071067811865476,-0.5516772843673705,-0.447213595499958,0.0,-2.23606797749979,-0.7071067811865476,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-3.2165670661324277e-16,0.0,-9.970239677287344e-16,0.0,9.461776783952557e-16,0.0,2.573729323368366e-16,0.0,-9.923260302532459e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2360679774997902,-1.6583123951777,-1.812653934349932,-2.2360679774997902,-2.2360679774997902,-1.812653934349932,-2.2360679774997902,-2.2360679774997902,-1.812653934349932,-1.812653934349932,-2.2360679774997902,-2.2360679774997902,-1.812653934349932,,,,,,,,,,,,,,,,,,0.0,,,0.0,248,248,248,248,237.0_0,2016-08-22,EN00057,V2,0.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,,,home,,,3.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,Brighten-v2,,,,,2.0,1.0,1.0,5.0,41.0,3.0,1.0,2.0,237.0,1.0,8.0,0.0,237.0_0,1.0,237.0
256,0.22263282083151079,0.19209533975826906,0.11966769577153266,0.7262634315067016,0.0,1.3531700572218832,0.0,0.9084489101756793,1.1775961428066803,0.851270556160601,0.0,0.11152743638722669,0.5512752352054434,1.330298857680159,-0.03988687311378088,0.0,0.0,0.0,0.0,0.017603228481460995,0.0,0.0,-0.16552799135669866,0.0,0.0,-1.6583123951777001,-1.8126539343499315,-1.8126539343499315,-0.5516772843673705,0.0,-0.447213595499958,0.0,-0.7071067811865476,-0.5516772843673705,-0.447213595499958,0.0,-2.23606797749979,-0.7071067811865476,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,-3.2165670661324277e-16,0.0,-9.970239677287344e-16,0.0,9.461776783952557e-16,0.0,2.573729323368366e-16,0.0,-9.923260302532459e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2360679774997902,-1.6583123951777,-1.812653934349932,-2.2360679774997902,-2.2360679774997902,-1.812653934349932,-2.2360679774997902,-2.2360679774997902,-1.812653934349932,-1.812653934349932,-2.2360679774997902,-2.2360679774997902,-1.812653934349932,,,,,,,,,,,,,,,,,,0.0,,,0.0,274,274,274,274,237.0_8,2016-08-30,EN00057,V2,8.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,,,home,,,3.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,Brighten-v2,,,,,2.0,1.0,1.0,,41.0,3.0,1.0,2.0,237.0,2.0,8.0,1.0,237.0_1,1.0,237.0
231,0.22263282083151079,0.19209533975826906,0.11966769577153266,0.7262634315067016,0.0,1.3531700572218832,0.0,0.9084489101756793,1.1775961428066803,0.851270556160601,0.0,0.11152743638722669,0.5512752352054434,1.330298857680159,-0.03988687311378088,0.0,0.0,0.0,0.0,0.017603228481460995,0.0,0.0,-0.16552799135669866,0.0,0.0,-1.6583123951777001,-1.8126539343499315,-1.8126539343499315,-0.5516772843673705,0.0,-0.447213595499958,0.0,-0.7071067811865476,-0.5516772843673705,-0.447213595499958,0.0,-2.23606797749979,-0.7071067811865476,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-3.2165670661324277e-16,0.0,-9.970239677287344e-16,0.0,9.461776783952557e-16,0.0,2.573729323368366e-16,0.0,-9.923260302532459e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2360679774997902,-1.6583123951777,-1.812653934349932,-2.2360679774997902,-2.2360679774997902,-1.812653934349932,-2.2360679774997902,-2.2360679774997902,-1.812653934349932,-1.812653934349932,-2.2360679774997902,-2.2360679774997902,-1.812653934349932,,,,,,,,,,,,,,,,,,0.0,,,0.0,249,249,249,249,237.0_13,2016-09-04,EN00057,V2,13.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,,,home,,,3.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,Brighten-v2,,,,,2.0,1.0,1.0,,41.0,3.0,1.0,2.0,237.0,7.0,9.0,1.0,237.0_1,1.0,237.0
232,0.22263282083151079,0.19209533975826906,0.11966769577153266,0.7262634315067016,0.0,1.3531700572218832,0.0,0.9084489101756793,1.1775961428066803,0.851270556160601,0.0,0.11152743638722669,0.5512752352054434,1.330298857680159,-0.03988687311378088,0.0,0.0,0.0,0.0,0.017603228481460995,0.0,0.0,-0.16552799135669866,0.0,0.0,-1.6583123951777001,-1.8126539343499315,-1.8126539343499315,-0.5516772843673705,0.0,-0.447213595499958,0.0,-0.7071067811865476,-0.5516772843673705,-0.447213595499958,0.0,-2.23606797749979,-0.7071067811865476,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-3.2165670661324277e-16,0.0,-9.970239677287344e-16,0.0,9.461776783952557e-16,0.0,2.573729323368366e-16,0.0,-9.923260302532459e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2360679774997902,-1.6583123951777,-1.812653934349932,-2.2360679774997902,-2.2360679774997902,-1.812653934349932,-2.2360679774997902,-2.2360679774997902,-1.812653934349932,-1.812653934349932,-2.2360679774997902,-2.2360679774997902,-1.812653934349932,,,,,,,,,,,,,,,,,,0.0,,,0.0,250,250,250,250,237.0_15,2016-09-06,EN00057,V2,15.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,,,home,,,3.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,Brighten-v2,,,,,2.0,1.0,1.0,,41.0,3.0,1.0,2.0,237.0,2.0,9.0,2.0,237.0_2,1.0,237.0
233,-1.7894946087367951,-2.2289787812032364,-2.288077679716829,-0.738286854370155,0.0,-0.7066330700368378,0.0,-0.9956736419864408,-0.8143223813029241,-0.6763599096289272,0.0,0.09117121309157011,-0.9247337189701758,-0.7531226883744143,-0.03988687311378088,0.0,0.0,0.0,0.0,0.017603228481460995,0.0,0.0,-0.16552799135669866,0.0,0.0,-1.6583123951777001,-1.8126539343499315,-1.8126539343499315,-0.5516772843673705,0.0,-0.447213595499958,0.0,-0.7071067811865476,-0.5516772843673705,-0.447213595499958,0.0,0.447213595499958,-0.7071067811865476,0.0,1.0,1.0,1.0,1.0,0.0,0.8879966660053331,0.7881503891767537,-1.8959447258696005,1.4864035776589017,1.3899404100119053,-1.9425046513196966,1.4641501891314819,1.3603434831391295,-2.314500149479923,-2.381510565879999,0.1175077978894417,0.17383780502772594,-2.624027693476139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,0.6030226891555274,-1.812653934349932,0.4472135954999579,0.4472135954999579,-1.812653934349932,0.4472135954999579,0.4472135954999579,-1.812653934349932,-1.812653934349932,0.4472135954999579,0.4472135954999579,-1.812653934349932,,,,,,,,,,,1.135860278127803,1.541103500742244,1.5103963500479967,,,,,0.0,,,0.0,251,251,251,251,237.0_21,2016-09-12,EN00057,V2,21.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,home,,,3.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,Brighten-v2,,,,,2.0,1.0,1.0,,41.0,3.0,1.0,2.0,237.0,1.0,9.0,3.0,237.0_3,0.0,237.0
234,0.5491415802764826,-0.31361224301941804,0.1036213954613234,-0.738286854370155,0.0,-0.7066330700368378,0.0,-0.9956736419864408,-0.8143223813029241,-0.6763599096289272,0.0,1.1174241298227283,-0.9247337189701758,-0.7531226883744143,-1.5635796912749285,0.0,0.0,0.0,0.0,0.017603228481460995,0.0,0.0,-0.16552799135669866,0.0,0.0,0.6030226891555274,0.5516772843673704,0.5516772843673704,-0.5516772843673705,0.0,-0.447213595499958,0.0,-0.7071067811865476,-0.5516772843673705,-0.447213595499958,0.0,0.447213595499958,-0.7071067811865476,0.0,1.0,1.0,1.0,1.0,0.0,-0.11810793094652144,-0.4293836826719902,0.7695032383725026,1.0987488789946611,1.140173214706099,1.5360616422782516,0.01534033958344996,-0.024621601504779614,1.209177962709062,1.3628742162015863,1.1006964087067252,1.335368783718854,0.9440034546057743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,0.6030226891555274,0.5516772843673704,0.4472135954999579,0.4472135954999579,0.5516772843673704,0.4472135954999579,0.4472135954999579,0.5516772843673704,0.5516772843673704,0.4472135954999579,0.4472135954999579,0.5516772843673704,,,,,,,,,,,1.135860278127803,0.770551750371122,0.9886230654859613,,,,,0.0,,,0.0,252,252,252,252,237.0_22,2016-09-13,EN00057,V2,22.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,0.033,0.0,home,home,home,3.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,Brighten-v2,,,,,2.0,1.0,1.0,,41.0,3.0,1.0,2.0,237.0,2.0,9.0,3.0,237.0_3,0.0,237.0
235,-1.2359058480249263,1.373266834451393,1.184213740789108,-0.738286854370155,0.0,1.44177110932583,0.0,0.9883273672657098,1.0443943022881563,1.765964217420304,0.0,1.709207785858451,0.8510099185138028,0.08656275683988096,1.280341168963623,0.0,0.0,0.0,0.0,0.017603228481460995,0.0,0.0,-0.16552799135669866,0.0,0.0,0.6030226891555274,0.5516772843673704,0.5516772843673704,-0.5516772843673705,0.0,2.23606797749979,0.0,1.4142135623730951,1.8126539343499315,2.23606797749979,0.0,0.447213595499958,1.4142135623730951,0.0,1.0,1.0,1.0,1.0,0.0,1.1504587347753823,1.3157484869778762,0.30594707067822374,1.1967433753112722,1.3745053586166027,0.43756702324732066,-0.3255560956043227,-0.5632191344218557,0.8382644772154849,-0.12874136092271748,1.4791681608821274,1.222014555677912,0.05199566758529595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,0.6030226891555274,0.5516772843673704,0.4472135954999579,0.4472135954999579,0.5516772843673704,0.4472135954999579,0.4472135954999579,0.5516772843673704,0.5516772843673704,0.4472135954999579,0.4472135954999579,0.5516772843673704,,,,,,,,,,,1.135860278127803,1.541103500742244,1.5103963500479967,,,,,0.0,,,0.0,253,253,253,253,237.0_23,2016-09-14,EN00057,V2,23.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,9.517,9.517,xNot,none,none,3.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,Brighten-v2,,,,,2.0,1.0,1.0,,41.0,3.0,1.0,2.0,237.0,3.0,9.0,3.0,237.0_3,0.0,237.0
236,-1.7894946087367951,-2.2289787812032364,-2.288077679716829,-0.738286854370155,0.0,-0.7066330700368378,0.0,-0.9956736419864408,-0.8143223813029241,-0.6763599096289272,0.0,0.5364074688145999,-0.9247337189701758,-0.7531226883744143,-0.03988687311378088,0.0,0.0,0.0,0.0,0.017603228481460995,0.0,0.0,-0.16552799135669866,0.0,0.0,-1.6583123951777001,-1.8126539343499315,-1.8126539343499315,-0.5516772843673705,0.0,-0.447213595499958,0.0,-0.7071067811865476,-0.5516772843673705,-0.447213595499958,0.0,0.447213595499958,-0.7071067811865476,0.0,1.0,1.0,1.0,1.0,0.0,0.5380472409786012,0.46347463668375555,-1.8959447258696005,0.9762557585988971,0.8932123923812572,-1.9425046513196966,0.4414608835681649,0.4370334267098565,-2.314500149479923,-2.381510565879999,0.33397688123699565,0.39075021671100774,-2.624027693476139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,0.6030226891555274,-1.812653934349932,0.4472135954999579,0.4472135954999579,-1.812653934349932,0.4472135954999579,0.4472135954999579,-1.812653934349932,-1.812653934349932,0.4472135954999579,0.4472135954999579,-1.812653934349932,,,,,,,,,,,-0.1336306209562126,1.541103500742244,0.9886230654859613,,,,,0.0,,,0.0,254,254,254,254,237.0_24,2016-09-15,EN00057,V2,24.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,11.0,0.0,home,home,home,3.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,Brighten-v2,,,,,2.0,1.0,1.0,,41.0,3.0,1.0,2.0,237.0,4.0,9.0,3.0,237.0_3,0.0,237.0
237,-0.34812091437012455,-0.0705626927918594,0.786809192854901,-0.738286854370155,0.0,-0.7066330700368378,0.0,0.8104118026257676,-0.8143223813029241,-0.6763599096289272,0.0,-0.008381149004901318,-0.006981038463048459,-0.7531226883744143,1.0426887840063557,0.0,0.0,0.0,0.0,0.017603228481460995,0.0,0.0,-0.16552799135669866,0.0,0.0,0.6030226891555274,0.5516772843673704,0.5516772843673704,-0.5516772843673705,0.0,-0.447213595499958,0.0,1.4142135623730951,-0.5516772843673705,-0.447213595499958,0.0,0.447213595499958,1.4142135623730951,0.0,1.0,1.0,1.0,1.0,0.0,-0.7305194247433026,-0.7134749661033638,0.19005802875465394,0.6073353018775375,0.6883471647708768,0.8952731145102085,-0.3255560956043227,-0.1015641062072191,1.0237212199622732,1.1971391520766632,0.940090314610151,0.9393287030326016,0.9249434591566191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,0.6030226891555274,0.5516772843673704,0.4472135954999579,0.4472135954999579,0.5516772843673704,0.4472135954999579,0.4472135954999579,0.5516772843673704,0.5516772843673704,0.4472135954999579,0.4472135954999579,0.5516772843673704,,,,,,,,,,,,,,,,,,0.0,,,0.0,255,255,255,255,237.0_25,2016-09-16,EN00057,V2,25.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,19.7,2.983,home,home,home,3.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,Brighten-v2,,,,,2.0,1.0,1.0,,41.0,3.0,1.0,2.0,237.0,5.0,9.0,3.0,237.0_3,1.0,237.0
238,-0.12707395833134483,2.2554874065935393,2.475730805676113,-0.738286854370155,0.0,-0.7066330700368378,0.0,-0.9956736419864408,-0.8143223813029241,-0.6763599096289272,0.0,1.1270029900416223,-0.9247337189701758,-0.7531226883744143,-0.8493284163975529,0.0,0.0,0.0,0.0,0.017603228481460995,0.0,0.0,-0.16552799135669866,0.0,0.0,0.6030226891555274,0.5516772843673704,0.5516772843673704,-0.5516772843673705,0.0,-0.447213595499958,0.0,-0.7071067811865476,-0.5516772843673705,-0.447213595499958,0.0,0.447213595499958,-0.7071067811865476,0.0,1.0,1.0,1.0,1.0,0.0,-0.9929814935133516,-0.7540594351649886,-0.5052762227867642,0.510781901094995,1.0237087359960884,1.444520424025674,-0.6664525307920949,-0.9479316579340531,1.5800914482026391,0.8758995833407024,1.3129757678604563,1.1576405496299709,0.7152835092159082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,0.6030226891555274,0.5516772843673704,0.4472135954999579,0.4472135954999579,0.5516772843673704,0.4472135954999579,0.4472135954999579,0.5516772843673704,0.5516772843673704,0.4472135954999579,0.4472135954999579,0.5516772843673704,,,,,,,,,,,-1.4031215200402283,-0.770551750371122,-1.0984700727621797,,,,,0.0,,,0.0,256,256,256,256,237.0_26,2016-09-17,EN00057,V2,26.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,,0.05,0.0,home,home,home,3.0,2.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,Brighten-v2,,,,,2.0,1.0,1.0,,41.0,3.0,1.0,2.0,237.0,6.0,9.0,3.0,237.0_3,0.0,237.0
