,sub,r2_actual_vs_model,r2_actual_vs_avg,r2_model_increase_from_avg,pmc_actual_vs_model,pmc_actual_vs_avg
16,168.0,0.0864305236799422,-0.8202305627354225,0.9066610864153647,"PearsonRResult(statistic=0.3672037680598486, pvalue=0.16177690597905522)","PearsonRResult(statistic=nan, pvalue=nan)"
17,172.0,-0.5745698287724248,-0.17711218947842045,-0.39745763929400435,"PearsonRResult(statistic=0.1144132445556004, pvalue=0.6969318773261728)","PearsonRResult(statistic=nan, pvalue=nan)"
18,175.0,-0.39989823206913755,-1.0725446428571423,0.6726464107880048,"PearsonRResult(statistic=-0.31479538652259226, pvalue=0.3189603187158281)","PearsonRResult(statistic=nan, pvalue=nan)"
19,184.0,0.0,0.0,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
20,186.0,-0.8012364332854958,-0.1158968845205921,-0.6853395487649037,"PearsonRResult(statistic=-0.05044865055950912, pvalue=0.8640114433146335)","PearsonRResult(statistic=nan, pvalue=nan)"
21,194.0,-0.48994569056076864,-0.365768418773345,-0.12417727178742366,"PearsonRResult(statistic=-0.04113260212116429, pvalue=0.8990032378893348)","PearsonRResult(statistic=nan, pvalue=nan)"
22,196.0,-0.06822012396424593,-0.2352000000000003,0.16697987603575437,"PearsonRResult(statistic=0.422323658638593, pvalue=0.171424864631395)","PearsonRResult(statistic=nan, pvalue=nan)"
23,198.0,-0.7373582230623816,-0.7373582230623816,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
24,199.0,-0.4293994204916143,-0.35017528732535075,-0.07922413316626353,"PearsonRResult(statistic=-0.16233757886595884, pvalue=0.5480510537904342)","PearsonRResult(statistic=nan, pvalue=nan)"
25,207.0,-0.6904108768553399,-0.19549211462777993,-0.4949187622275599,"PearsonRResult(statistic=-0.1254677844959156, pvalue=0.6433661589052723)","PearsonRResult(statistic=nan, pvalue=nan)"
26,1299.0,-0.3174309733363041,-0.3174309733363041,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
