"ROW_ID","ROW_VERSION","participant_id","dt_response","week","happ_bh","happ_f","happ_fts","happ_inc","happ_ir","happ_iw","happ_m","happ_mdi","happ_mh","happ_o","happ_o_description"
"14841","10","GREEN-00236","2015-07-16 13:01:15+00:00","1","1","0","0","0","0","0","1","0","0","0","0"
"14842","10","GREEN-00237","2015-04-23 21:09:36+00:00","1","0","1","0","0","0","0","1","0","1","0","0"
"14843","10","GREEN-00237","2015-05-21 17:39:59+00:00","1","1","1","0","0","1","1","1","1","1","0","0"
"14844","10","GREEN-00237","2015-06-18 16:13:38+00:00","1","0","1","0","0","1","0","0","0","1","0","0"
"14845","10","GREEN-00237","2015-07-16 19:12:16+00:00","1","0","1","0","0","0","0","1","0","0","0","0"
"14846","10","GREEN-00238","2015-05-08 21:52:31+00:00","1","0","0","0","0","0","0","0","0","0","1","Study"
"14847","10","GREEN-00241","2015-04-23 20:46:21+00:00","1","1","1","0","0","0","0","1","1","1","0","0"
"14848","10","GREEN-00241","2015-05-21 23:04:45+00:00","1","1","1","0","0","1","1","1","1","0","0","0"
"14849","10","GREEN-00241","2015-06-18 13:26:05+00:00","1","1","1","0","0","1","1","0","1","0","0","0"
"14850","10","GREEN-00241","2015-07-16 14:16:17+00:00","1","1","1","0","0","1","0","1","1","0","0","0"
"14851","10","GREEN-00242","2015-04-23 20:39:49+00:00","1","0","0","0","0","0","0","0","0","1","0","0"
"14852","10","GREEN-00242","2015-05-22 03:42:46+00:00","1","0","0","0","0","0","0","0","0","1","0","0"
"14853","10","GREEN-00242","2015-06-19 13:42:47+00:00","1","0","0","0","0","0","0","0","0","1","0","0"
"14854","10","GREEN-00244","2015-04-24 14:40:21+00:00","1","0","0","0","0","0","0","0","0","1","0","0"
"14855","10","GREEN-00244","2015-05-22 13:20:38+00:00","1","0","0","0","0","0","0","1","1","1","0","0"
"14856","10","GREEN-00244","2015-07-17 13:03:10+00:00","1","0","0","0","0","0","0","0","0","1","0","0"
"14857","10","GREEN-00245","2015-05-01 02:45:47+00:00","1","0","0","0","0","0","0","0","0","0","1","Exercise class schedule"
"14858","10","GREEN-00245","2015-07-25 15:54:12+00:00","1","0","0","0","0","0","0","0","0","1","0","0"
"14859","10","GREEN-00246","2015-04-23 22:05:04+00:00","1","1","0","0","0","1","0","1","0","1","0","0"
"14860","10","GREEN-00246","2015-06-20 01:31:39+00:00","1","0","1","0","0","0","0","0","1","0","0","0"
"14861","10","GREEN-00248","2015-04-24 14:26:50+00:00","1","0","0","0","0","0","0","0","1","0","0","0"
"14862","10","GREEN-00248","2015-05-21 13:02:12+00:00","1","0","0","0","0","0","0","0","0","1","0","0"
"14863","10","GREEN-00248","2015-06-18 14:08:28+00:00","1","0","0","0","0","0","0","0","0","1","0","0"
"14864","10","ORANGE-00013","2014-09-26 09:07:08+00:00","1","0","0","0","0","0","0","0","0","0","1","Curiosity"
"14865","10","ORANGE-00014","2014-09-26 21:40:06+00:00","1","0","0","0","0","0","0","0","1","0","0","0"
"14866","10","ORANGE-00014","2014-10-24 14:35:15+00:00","5","0","0","0","0","0","0","1","0","0","0","0"
"14867","10","ORANGE-00014","2014-11-21 18:17:39+00:00","9","0","1","0","0","0","0","1","0","1","0","0"
"14868","10","ORANGE-00014","2014-12-19 16:02:19+00:00","13","0","0","0","0","0","0","1","0","1","0","0"
"14869","10","ORANGE-00015","2014-09-26 12:19:28+00:00","1","0","1","0","0","1","0","1","1","0","0","0"
"14870","10","ORANGE-00015","2014-10-26 22:44:18+00:00","5","0","0","0","0","1","1","1","1","1","0","0"
"14871","10","ORANGE-00015","2014-11-22 18:22:16+00:00","9","0","0","0","0","1","1","1","0","1","0","0"
"14872","10","ORANGE-00016","2014-09-30 01:58:35+00:00","1","1","1","0","0","0","0","0","0","0","0","0"
"14873","10","ORANGE-00016","2014-10-28 17:22:30+00:00","5","0","1","0","0","0","0","0","0","1","0","0"
"14874","10","ORANGE-00017","2014-09-27 20:19:01+00:00","1","0","0","0","0","0","0","0","1","0","0","0"
"14875","10","ORANGE-00018","2014-10-02 23:06:38+00:00","1","1","1","0","0","1","1","1","1","1","0","0"
"14876","10","ORANGE-00019","2014-10-01 13:39:24+00:00","1","1","0","0","0","0","0","0","0","0","0","0"
"14877","10","ORANGE-00019","2014-10-29 16:34:43+00:00","5","1","0","0","0","0","0","0","0","0","0","0"
"14878","10","ORANGE-00021","2014-09-30 23:41:38+00:00","1","0","0","1","1","0","0","0","0","0","1","Amazon gift card study"
"14879","10","ORANGE-00021","2014-10-28 17:24:20+00:00","5","0","0","0","1","0","0","0","0","0","1","Research. Receive incentive upon completion"
"14880","10","ORANGE-00023","2014-09-30 01:05:02+00:00","1","0","1","0","0","0","0","1","0","0","0","0"
"14881","10","ORANGE-00023","2014-10-28 17:01:51+00:00","5","1","0","0","0","0","0","1","0","0","0","0"
"14882","10","ORANGE-00023","2014-11-25 14:10:10+00:00","9","1","1","0","0","0","0","1","1","0","0","0"
"14883","10","ORANGE-00023","2014-12-23 14:19:34+00:00","13","1","0","0","0","0","0","1","0","0","0","0"
"14884","10","ORANGE-00024","2014-09-30 00:14:45+00:00","1","0","0","0","0","0","0","0","0","1","0","0"
"14885","10","ORANGE-00024","2014-10-28 16:02:33+00:00","5","0","0","0","0","1","0","1","1","1","0","0"
"14886","10","ORANGE-00024","2014-11-25 17:04:50+00:00","9","1","0","0","0","0","0","0","0","1","0","0"
"14887","10","ORANGE-00024","2014-12-23 23:08:59+00:00","13","0","0","0","0","0","0","1","1","1","0","0"
"14888","10","ORANGE-00025","2014-09-29 17:03:40+00:00","1","0","0","1","0","0","0","0","0","0","1","Paid study"
"14889","10","ORANGE-00025","2014-10-27 18:23:43+00:00","1","0","0","0","0","0","0","1","0","0","0","0"
"14890","10","ORANGE-00028","2014-09-30 21:01:17+00:00","1","1","0","0","0","1","1","1","1","1","0","0"
"14891","10","ORANGE-00028","2014-10-28 15:21:56+00:00","5","1","0","0","0","1","0","1","1","1","0","0"
"14892","10","ORANGE-00028","2014-11-26 03:10:19+00:00","9","1","1","0","0","0","0","1","1","1","0","0"
"14893","10","ORANGE-00028","2014-12-24 15:52:37+00:00","13","1","0","0","0","1","1","1","1","1","0","0"
"14894","10","ORANGE-00030","2014-09-30 17:48:23+00:00","1","0","0","0","0","0","0","1","0","0","0","0"
"14895","10","ORANGE-00030","2014-10-28 15:01:58+00:00","5","0","0","0","0","0","0","1","0","0","0","0"
"14896","10","ORANGE-00031","2014-09-30 19:47:21+00:00","1","1","0","0","0","1","1","1","1","1","0","0"
"14897","10","ORANGE-00034","2014-10-01 00:29:48+00:00","1","0","0","1","0","0","0","0","0","0","1","Part of a study"
"14898","10","ORANGE-00035","2014-09-30 20:50:52+00:00","0","0","0","0","0","0","0","0","0","0","1","Survey"
"14899","10","ORANGE-00035","2014-10-28 14:10:02+00:00","4","0","0","1","0","0","0","0","0","0","1","For study"
"14900","10","ORANGE-00035","2014-11-26 03:02:53+00:00","9","0","0","0","0","0","0","0","0","0","1","Survey"
"14901","10","ORANGE-00035","2014-12-23 16:00:53+00:00","12","0","0","0","0","0","0","0","0","0","1","Survey"
"14902","10","ORANGE-00037","2014-10-03 02:24:26+00:00","1","1","1","0","0","1","0","0","1","1","0","0"
"14903","10","ORANGE-00037","2014-11-30 13:39:55+00:00","9","1","0","0","0","0","0","0","0","1","0","0"
"14904","10","ORANGE-00039","2014-10-03 11:44:40+00:00","1","0","0","0","0","0","0","0","0","1","0","0"
"14905","10","ORANGE-00040","2014-10-03 12:35:09+00:00","1","1","0","0","0","0","0","1","1","1","0","0"
"14906","10","ORANGE-00041","2014-10-03 09:26:08+00:00","1","0","0","0","0","0","0","0","1","0","0","0"
"14907","10","ORANGE-00041","2014-10-31 13:25:23+00:00","5","1","0","0","0","0","0","1","1","0","0","0"
"14908","10","ORANGE-00041","2014-11-29 14:51:00+00:00","9","0","0","0","0","0","0","1","1","0","0","0"
"14909","10","ORANGE-00041","2014-12-26 20:06:38+00:00","13","0","0","0","0","0","0","0","1","0","0","0"
"14910","10","ORANGE-00042","2014-10-03 13:50:06+00:00","1","0","0","0","0","1","0","1","0","1","0","0"
