iter	Passed	Remaining
911	1605	154
912	1606	153
913	1608	151
914	1610	149
915	1612	147
916	1614	146
917	1615	144
918	1617	142
919	1619	140
920	1621	139
921	1623	137
922	1624	135
923	1626	133
924	1628	132
925	1629	130
926	1631	128
927	1633	126
928	1635	124
929	1636	123
930	1638	121
931	1640	119
932	1642	117
933	1644	116
934	1646	114
935	1648	112
936	1650	110
937	1652	109
938	1654	107
939	1656	105
940	1657	103
941	1660	102
942	1662	100
943	1664	98
944	1666	96
945	1668	95
946	1670	93
947	1672	91
948	1675	90
949	1676	88
950	1679	86
951	1681	84
952	1682	83
953	1684	81
954	1686	79
955	1688	77
956	1689	75
957	1691	74
958	1693	72
959	1695	70
960	1697	68
961	1698	67
962	1700	65
963	1702	63
964	1704	61
965	1705	60
966	1708	58
967	1710	56
968	1711	54
969	1713	52
970	1715	51
971	1717	49
972	1719	47
973	1720	45
974	1722	44
975	1723	42
976	1727	40
977	1729	38
978	1731	37
979	1733	35
980	1735	33
981	1737	31
982	1738	30
983	1740	28
984	1742	26
985	1743	24
986	1745	22
987	1746	21
988	1748	19
989	1750	17
990	1752	15
991	1754	14
992	1756	12
993	1758	10
994	1760	8
995	1761	7
996	1763	5
997	1765	3
998	1767	1
999	1768	0
