iter	RMSE
630	0.3412653397
631	0.3408811898
632	0.3401568973
633	0.3399502384
634	0.3397211589
635	0.3393683391
636	0.3388910039
637	0.3383345714
638	0.338145571
639	0.337847438
640	0.3375043807
641	0.3374968177
642	0.3371968978
643	0.3368936571
644	0.3368863701
645	0.3365343084
646	0.3360469437
647	0.3356009148
648	0.3353363099
649	0.3350807631
650	0.3345634011
651	0.3341512276
652	0.3341444987
653	0.3337497548
654	0.3334306459
655	0.3331944942
656	0.3328708518
657	0.3326377813
658	0.3323784527
659	0.3319414795
660	0.3314306742
661	0.3311682871
662	0.3311626817
663	0.3310027163
664	0.3307328535
665	0.3304223337
666	0.3299843351
667	0.329823778
668	0.3294316387
669	0.3292379748
670	0.3290110688
671	0.328865095
672	0.3285794895
673	0.3283721973
674	0.3281212653
675	0.3275756175
676	0.326982578
677	0.3265511838
678	0.326011303
679	0.3257077646
680	0.3252502892
681	0.3250263807
682	0.3246932515
683	0.324387076
684	0.3237973605
685	0.3236324044
686	0.323625942
687	0.323413347
688	0.3230801995
689	0.3227200199
690	0.3223420279
691	0.3219452295
692	0.3215686458
693	0.3209544916
694	0.3206716311
695	0.3204452384
696	0.3202064988
697	0.3200665617
698	0.3198061533
699	0.3195160405
700	0.319257627
701	0.3187134636
702	0.3185195878
703	0.3182310511
704	0.3177544567
705	0.3172398874
706	0.317234688
707	0.3165630775
708	0.3162056485
709	0.3158116627
710	0.3155683901
711	0.3155207886
712	0.3152616551
713	0.3150278081
714	0.3146694115
715	0.314363459
716	0.3140964636
717	0.3139366533
718	0.3135803768
719	0.3133946313
720	0.3128787285
721	0.3124407802
722	0.3122702359
723	0.3120990647
724	0.3117280162
725	0.3117230883
726	0.31156343
727	0.3110901658
728	0.3108711241
729	0.3104606789
730	0.3100489323
731	0.3096743198
732	0.3094307212
733	0.3091324618
734	0.3086618586
735	0.308537646
736	0.3080393994
737	0.3075326092
738	0.306853156
739	0.3060494079
740	0.3054276729
741	0.3052830066
742	0.3046580073
743	0.3043932161
744	0.3040779802
745	0.3036360033
746	0.303392502
747	0.3029733524
748	0.3027577243
749	0.3024667572
750	0.3017749793
751	0.3016918532
752	0.3012990097
753	0.3006867446
754	0.3003519595
755	0.3001498127
756	0.299842703
757	0.2991690015
758	0.2985908471
759	0.2983700824
760	0.2980708567
761	0.2977177844
762	0.297532275
763	0.296930306
764	0.2966263816
765	0.2961814279
766	0.2959888288
767	0.2957250218
768	0.2955472374
769	0.2951278307
770	0.2948879744
771	0.2948829022
772	0.2946368768
773	0.2941446451
774	0.2939678069
775	0.2933710271
776	0.2928328317
777	0.2924659379
778	0.2923521102
779	0.2916392766
780	0.291217291
781	0.291056966
782	0.2907940638
783	0.2904346033
784	0.2901758748
785	0.2898909502
786	0.2895789419
787	0.289308919
788	0.2888338337
789	0.2881580489
790	0.2876507889
791	0.2874551588
792	0.2870862302
793	0.2867624912
794	0.2865602084
795	0.2861745748
796	0.2860436073
797	0.2854564388
798	0.2853162435
799	0.2851545473
800	0.2848941566
801	0.2842658928
802	0.2839231128
803	0.2835358692
804	0.2832314332
805	0.2829234019
806	0.2826409192
807	0.2824541386
808	0.2820333634
809	0.2817612872
810	0.2812768956
811	0.2812143125
812	0.2810469472
813	0.2805134012
814	0.2802393403
815	0.2800679112
816	0.2800356667
817	0.2797755905
818	0.2790357574
819	0.2789379082
820	0.2786038175
821	0.2782482201
822	0.2780373475
823	0.2774493799
824	0.2772992469
825	0.2769238747
826	0.2765054072
827	0.2759985716
828	0.2757913585
829	0.2757876214
830	0.2755580171
831	0.2752402295
832	0.2749959184
833	0.2747611606
834	0.2743402809
835	0.2739840753
836	0.2738667374
837	0.2734057182
838	0.2731040958
839	0.2728034743
840	0.272577698
841	0.272196938
842	0.2721677354
843	0.2718386347
844	0.2716716149
845	0.2714942633
846	0.2712575304
847	0.2711637948
848	0.2710669387
849	0.2707064659
850	0.2704704807
851	0.2700257027
852	0.2696806545
853	0.2695238914
854	0.2692953874
855	0.2689601928
856	0.2687108342
857	0.2684808683
858	0.2680872683
859	0.2678080768
860	0.267605608
861	0.2672557345
862	0.2670683086
863	0.2669051937
864	0.2665172408
865	0.2663067674
866	0.2661829218
867	0.2661789934
868	0.2659770502
869	0.2657822012
870	0.2655820198
871	0.2654328331
872	0.2653474419
873	0.2650749512
874	0.2645305177
875	0.2644258003
876	0.264206163
877	0.2640025039
878	0.263830871
879	0.2635423696
880	0.2631904591
881	0.2630397175
882	0.2627998552
883	0.2625492953
884	0.2622720162
885	0.2618111627
886	0.2616957799
887	0.2614724427
888	0.2613594718
889	0.2611413301
890	0.2608115098
891	0.260433014
892	0.259968697
893	0.2596364852
894	0.2596294164
895	0.2594187724
896	0.2592428003
897	0.2590674492
898	0.2588217733
899	0.2581673736
900	0.2580287062
901	0.2578941275
902	0.2577197359
903	0.2576317375
904	0.2571178077
905	0.2570389511
906	0.2567588194
907	0.2564781474
908	0.2562691924
909	0.2561433527
910	0.2560005828
911	0.2558547421
912	0.2556810023
913	0.2554933851
914	0.2551045323
915	0.2548163475
916	0.254433422
917	0.2542880647
918	0.254149696
919	0.2539024815
920	0.2536383222
921	0.253401493
922	0.2532897582
923	0.2531992963
924	0.2530340771
925	0.2529224076
926	0.2527173526
927	0.2521983155
928	0.2518723502
929	0.2516787113
930	0.2514842417
931	0.2511756062
932	0.2509599589
933	0.2509569576
934	0.2507683922
935	0.2506214448
936	0.2505080038
937	0.2503006094
938	0.2498641218
939	0.2494232899
940	0.2492476054
941	0.2490409797
942	0.2486892463
943	0.2485728198
944	0.2484362813
945	0.2483722651
946	0.2482170734
947	0.24775754
948	0.2475736578
949	0.2473243217
950	0.2472695315
951	0.2470896526
952	0.2468722509
953	0.2467724387
954	0.2466284791
955	0.2464972941
956	0.2460197853
957	0.2456715067
958	0.2455224101
959	0.2453906256
960	0.2451470338
961	0.2449225701
962	0.244689543
963	0.2442857478
964	0.2441595853
965	0.2439663455
966	0.2436433062
967	0.2434148487
968	0.243310669
969	0.2429989157
970	0.242807986
971	0.2426433328
972	0.242386816
973	0.2422296219
974	0.2418125968
975	0.2417277235
976	0.2414908054
977	0.2411017019
978	0.2409442089
979	0.2407966745
980	0.2407920794
981	0.2406479747
982	0.2405598198
983	0.2400953207
984	0.2398393359
985	0.2396961097
986	0.2395684063
987	0.2392241717
988	0.238964415
989	0.2388498822
990	0.2386637742
991	0.2384396472
992	0.2382676518
993	0.2380470702
994	0.2375656527
995	0.2374263724
996	0.2372999214
997	0.2370774591
998	0.2369792581
999	0.2369065413
